id,group_name,num_members,pagerank
20197351,Nashville Longevity Communities,53,0.7016735083542973
6335372,Nashville soccer,2869,0.6958530226826953
21338021,"WomanSpeak, Nashville Circles",381,0.6934805295375307
20493986,R-Ladies Nashville,210,0.6920845902989003
21755271,Williamson County Democratic Party Events,88,0.6843914995089259
2520612,The Nashville Girly Book Club,1770,0.6649086430344024
18974119,Nashville Science & Religion Meetup,299,0.6453923528197831
25681644,East Nashville Daytime Basketball,52,0.6438908676851165
22130047,"Nashville Metaphysical, New Age, and Psychic Meetup",285,0.6428599008965935
6707902,Data Science Nashville,1046,0.6283338915536708
9307682,New Investors & Real Estate Investors of Williamson County,160,0.6232599644455079
3636792,Nashville Quantum Energy Play Group,196,0.622782243807864
20041384,ONA Nashville,99,0.6198083381590415
19049542,Blues Dance Nashville,865,0.6141512249943826
18529135,Franklin AM - Networking,360,0.6087034151503284
1078077,PROVIDENT LIVING & SELF-RELIANCE,777,0.5984297350854677
1498076,Christian Business Leaders Roundtable | CEO Fellowship,887,0.5975266517785233
13560402,Nashville Modern Excel & Power BI User Group,540,0.5925634012324326
535553,Nash.rb,881,0.5899573639951541
19908083,"Wellness, Abundance, Purpose",295,0.5883275270217007
711599,The Nashville Web Design Meetup Group,493,0.5872181877859078
22422793,Women & Horses,108,0.5751572709991303
19934054,Outdoor Fit - HIIT,205,0.567633063535515
3376042,Mastermind Business Networkers,605,0.5628691786785711
20583850,"GREEN Investment Club, Nashville",71,0.562858958072122
22023226,Paid To Speak Entrepreneurs,328,0.5623082430609806
19680459,Bellevue Free Mandarin/Korean Lessons Meetup,243,0.5545364506131915
18506072,20s in Nashville,3811,0.5410963939199588
7699922,Thinking Christians Book Club,195,0.5391409857475212
18494105,The Iron Yard - Nashville,1491,0.5283226335670554
16954142,Network Middle Tennessee,1084,0.5259245860024373
19194894,Nashville Christian Technologists and Entrepreneurs,613,0.519230490761769
20757821,Never Bored in Nashville,1872,0.5147249902012871
11862932,Nashville Linux Users Group,564,0.5093591997471285
19997487,Developer Launchpad Nashville,576,0.5067566117084114
22468329,Man Cave 615,388,0.5055298026395963
1457232,Volunteer Nashville,2921,0.4990530450261415
1741429,Brentwood - Grow Your Business In Tennessee,491,0.49875842547988036
23053409,Nashville LGBT Game Night Meetup,296,0.4958691605407099
24906881,Brentwood Artificial Intelligence Meetup,97,0.4955036386982825
24693747,Williamson County Republican Party,114,0.49487300789500893
2556962,Middle Tennessee Motorcycle Riders,1055,0.4929311148723776
18571126,Bellevue Business Buzz Networking  Group,5,0.4897074612294584
541319,The Nashville Songwriters Meetup Group,2644,0.4857687108271369
18232817,Narrowcasting Your Passion,73,0.480535691899207
25857366,The Warner Trail Runners,74,0.4802987665073739
18592827,"Big East Fork Yoga, Mind/Body, and Wellness",152,0.478719797422915
21632405,Middle Tennessee WarGamers,72,0.4700263977597283
252576,Real Estate Investors of Nashville Meetup Group,1035,0.467562084076585
22193397,Hendersonville Hiking Meetup,235,0.46506924599295635
10032122,Christianity & Transhumanism,31,0.46462744589356925
21533726,State & Local Government Developers Network,123,0.4625094273368593
1360698,Nashville PHP User Group,1118,0.46239138329445395
22817838,freeCodeCamp Nashville,434,0.46160160275857703
7138452,"Nashville Conda, R, Julia Users Group",413,0.4574492988172542
18672773,Nashville Charismatic Liberals,27,0.4562233583008352
22422502,Conscious Transformation - Nashville,387,0.4545975318504763
20940321,B'nei Mikra Nashville (Torah Study),86,0.4514996935375011
18256892,Nashville Holistic Association,549,0.4439505083674946
15770262,"Ambrosia - Friends, Food and Fun",1629,0.4370220049349353
23573879,Middle Tennessee Photography Buddies,423,0.4345724143162596
18996036,Full-Stack Marketing Mastermind,256,0.433517166128923
18556100,Nashville Wakeboarding and surfing Meetup,124,0.43017486296108787
1240194,Nashville Rock Climbing MeetUP,724,0.42600217186170547
19348756,Franklin Reiki,200,0.42479954202082804
16067522,Urban League Young Professionals of Middle Tennessee,1198,0.42457650746570713
21715712,Happy Hour Networking for Charity,73,0.42454151139322943
2542802,Nashville Flag Football,645,0.4244720487375005
18471729,"Build and Develop Your Online Presence Nashville, TN",353,0.4195377828358241
20384452,Thrills and Chills Book Club,105,0.4159382235012023
19030621,"Lesbians in the Workplace, Nashville",567,0.41342215410501276
2237681,Sahaja Yoga Meditation - Nashville,428,0.410604137841373
5282132,One Dharma Nashville Meditation Group,1191,0.4096589986449904
21933145,The Wild Woman Project - Nashville,137,0.4075860565198802
23499806,Nashville Walking Women,242,0.4075155818999646
1751502,Women 'n' Wine of Williamson County,959,0.407235632383167
24675279,Circle Bliss ~ Nashville ~ Energy Healing ~ Ataana Method,112,0.40642914073713865
1743773,SEO in Nashville - Join the Other Group!,41,0.4015042145701015
1772099,Nashville 80s Music & More Meetup,1763,0.3981085450692309
20181560,Tails of the Trail,1241,0.39770728391256294
1102353,Nashville Backpacker Meetup,3861,0.39762825918988554
